"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_Exp1_MSNE"
"01/20/2025 20:08:51:480 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"1","0","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","177309258","-1230511287","524.277","2147483648","5","-5.3687090825E8","5","0","10","-2147483648","200","200","0","100","100","0","0","0","5","-5.3687090825E8","-5.3687090825E8","-5.3687090825E8","100","0","0","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","0","0","0","0","0","0","0","0"
"13","60","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","2065256774","952437171","24.138","16.666666666666668","2","2.9166666666666665","5","0","10","-3.333333333333334","200","200","60","40","16","24","24","36","5","0","10","-3.333333333333337","16","36","48","0","100","0","0","100","0","0","0","0","100","0","45","24","11","24","3","56.25","54.166666666666664","54.166666666666664","59.72222222222222","0","0","0","0"
"16","75","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","1901931198","901363277","26.557","13.333333333333334","1.25","3.333333333333333","5","0","10","-1.666666666666667","200","200","71.5","28.5","9","19.5","19.5","52","5","0","10","-1.6666666666666656","9","52","39","0","100","0","0","100","0","0","0","0","100","0","41","21","4","104","3","50","61.53846153846154","61.53846153846154","72.11538461538461","0","0","0","0"
"15","70","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1998038922","655083521","24.234","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","200","72","28","9","19","19","53","5","0","10","-2.1428571428571406","9","53","38","0","100","0","0","100","0","0","0","0","100","0","46","26","2","106","3","77.77777777777779","71.05263157894737","71.05263157894737","74.52830188679245","0","0","0","0"
"14","65","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1613827582","1876781202","24.021","15.384615384615385","1.75","3.0769230769230766","5","0","10","-2.6923076923076925","200","200","70","30","9","21","21","49","5","0","10","-2.6923076923076863","9","49","42","0","100","0","0","100","0","0","0","0","100","0","42","17","5","97","3","50","45.23809523809524","45.23809523809524","57.14285714285714","0","0","0","0"
"17","80","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","1174348906","-739550352","26.778","12.5","1","3.4375","5","0","10","-1.25","200","200","77.5","22.5","4","18.5","18.5","59","5","0","10","-1.25","4","59","37","0","100","0","0","100","0","0","0","0","0","100","38","18","5","118","3","62.5","67.56756756756756","67.56756756756756","72.03389830508475","0","0","0","0"
"20","95","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1857290312","-1523752685","24.072","10.526315789473685","0.25","3.6842105263157894","5","0","10","-0.2631578947368425","200","200","97.5","2.5","0","2.5","2.5","95","3.6842105263157894","0","10","-0.2631578947368425","0","95","5","0","100","0","0","100","0","0","0","0","0","100","10","2","1","190","3","95","100","100","92.10526315789474","0","0","0","0"
"19","90","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","148582130","-847852179","24.515","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","200","92","8","2","6","6","86","5","0","10","-0.5555555555555568","2","86","12","0","100","0","0","100","0","0","0","0","0","100","24","6","1","172","3","100","91.66666666666666","91.66666666666666","87.20930232558139","0","0","0","0"
"18","85","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-1353819374","34292029","26.768","11.764705882352942","0.75","3.5294117647058822","5","0","10","-0.882352941176471","200","200","80","20","3","17","17","63","5","0","10","-0.882352941176468","3","63","34","0","100","0","0","100","0","0","0","0","0","100","39","14","4","124","3","50","73.52941176470588","73.52941176470588","83.33333333333334","0","0","0","0"
"21","100","1","100","100","0","200","Random","Random","50","0","0","2000","5","10","4","100","100","-1","false","","0","0","2000","-799037694","2094369074","26.1","10","0","3.75","5","0","10","0","200","200","100","0","0","0","0","100","3.75","3.75","3.75","0","0","100","0","0","100","0","0","100","0","0","0","0","0","100","1","1","1","200","3","100","100","100","100","0","0","0","0"
