"BehaviorSpace results (NetLogo 6.2.2)"
"BestResponseToContexts.nlogo"
"experiment_MSNE"
"01/16/2025 17:17:47:662 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Base-MSNE","Number-Of-C-Beliefs","Memory","Inertia","Epsilon","Number-Of-People","Initial-C-Belief-Positions","Initial-Person-Attributes","Perc-Right-Hand-Side","Clustering-Weight","Statistics-Retention","Run-Length","MSNE-Margin","HD-Value","MFI-Network-Radius","Ticks-Between-Network-Updates","Ticks-Between-Plot-Updates","Ticks-Until-Shock","Shock-Repeats?","Shock-Code","Seed-Setup","Seed-Go","[step]","previous-seed-setup","previous-seed-go","timer","hd-cost-of-conflict","msne-exp-payoff","noise-payoff","item 0 payoffs","item 1 payoffs","item 2 payoffs","item 3 payoffs","count people","count C-Beliefs","perc-played-hawk","perc-played-dove","perc-interaction-type 0","perc-interaction-type 1","perc-interaction-type 2","perc-interaction-type 3","mean-payoff-by-mfi 0","mean-payoff-by-mfi 1","mean-payoff-by-mfi 2","mean-payoff-by-mfi 3","perc-events-dd","perc-events-hh","perc-events-dhhd","perc-always-hawk","perc-play-mixture","perc-always-dove","perc-best-response-dove","perc-best-response-msne","perc-best-response-hawk","perc-beliefs-between 0 20","perc-beliefs-between 20 40","perc-beliefs-between 40 60","perc-beliefs-between 60 80","perc-beliefs-between 80 101","num-mfi-components-larger-than 0","num-mfi-components-larger-than 1","num-mfi-components-larger-than 5","first first mfi-component-sizes","last first mfi-component-sizes","perc-self-hawkish-mfi-type 0","perc-self-hawkish-mfi-type 1","perc-self-hawkish-mfi-type 2","perc-self-hawkish-mfi-type 3","mean-icb-distance-by-mfi 0","mean-icb-distance-by-mfi 1","mean-icb-distance-by-mfi 2","mean-icb-distance-by-mfi 3"
"8","35","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1881759282","-239039671","15.727","28.571428571428573","3.25","1.4285714285714284","5","0","10","-9.285714285714286","200","800","45.5","54.5","1.5","50","48.5","0","4.410876522115644","2.2217974669828853","6.80413797386997","1.4285714285714284","12.960328289850418","3.660518409449225","83.3791533007004","12.5","65.5","22","53.375","1.5","45.125","40.75","5.875","6.125","22.875","24.375","5","3","2","99","1","66.66666666666666","23","55.670103092783506","35","42.2588374195401","44.33306180286346","48.94763767759233","0"
"1","0","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","2033472616","1059909854","69.429","2147483648","5","-5.3687090825E8","5","0","10","-2147483648","200","800","0","100","100","0","0","0","4.999999999999999","-5.3687090825E8","-5.3687090825E8","-5.3687090825E8","99.99999999999989","0","0","0","100","0","0","100","0","100","0","0","0","0","1","1","1","200","0","0","0","0","0","2.996205679150185","0","0","0"
"14","65","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1102560791","380420125","24.345","15.384615384615385","1.75","3.0769230769230766","5","0","10","-2.6923076923076925","200","800","52.5","47.5","0","49","50","1","3.0769230769230766","2.101774572331042","6.229868067102996","2.1427667769490935","3.668819245747327","10.838993857078412","85.49218689717426","17.5","72","10.5","41.5","1.75","56.75","33","19.375","4.375","5.125","38.125","8","4","2","97","2","65","45.91836734693878","77","0","0","48.799767015566715","46.92939765116149","45.03868427226503"
"13","60","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-927171515","1593886580","26.394","16.666666666666668","2","2.9166666666666665","5","0","10","-3.333333333333334","200","800","53","47","0","48","52","0","2.9166666666666665","1.9445885634240365","6.204479813106351","2.9166666666666665","4.192975445813671","10.08321584089393","85.72380871329241","21.5","67.5","11","42","0.625","57.375","32.75","21.375","3.75","4.625","37.5","3","3","2","104","2","60","43.75","75.96153846153845","60","0","48.74504916435196","46.80325368355299","0"
"15","70","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1275346229","385504671","26.229","14.285714285714286","1.5","3.2142857142857144","5","0","10","-2.1428571428571432","200","800","57.5","42.5","0","50","49","1","3.2142857142857144","2.0302320985673084","6.088294663361884","1.3653248057365204","2.5135726522224053","13.831528446563192","83.65489890121444","25.5","65.5","9","39.125","1.125","59.75","23.25","27.625","8.375","3","37.75","8","4","2","97","2","70","56.99999999999999","81.63265306122449","50","0","49.27371742704072","42.99572781968412","44.5003739090932"
"18","85","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","-1915879857","-1702377285","28.574","11.764705882352942","0.75","3.5294117647058822","5","0","10","-0.882352941176471","200","800","64.5","35.5","0","47.5","33.5","19","3.5294117647058822","1.7653553090254837","5.609161237492046","3.388173185696971","0.41940208329033896","27.85678324230082","71.72381467440887","42","52.5","5.5","30.75","2.125","67.125","5","22.75","29.5","9.875","32.875","12","5","4","94","1","85","76.84210526315789","92.53731343283582","94.73684210526315","0","48.940689947786474","35.285112057416555","27.77228365779209"
"16","75","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1947709507","1468795326","26.543","13.333333333333334","1.25","3.333333333333333","5","0","10","-1.666666666666667","200","800","57.5","42.5","0","50","49.5","0.5","3.333333333333333","1.7161669699270667","6.187461211660611","4.003654413059063","1.730709413470459","15.886574147987544","82.382716438542","25.5","67.5","7","39.625","2.375","58","20","28","8.75","3.625","39.625","5","2","2","100","1","75","60","82.82828282828282","100","0","49.632427030773414","40.00503285762046","35.261207095010775"
"17","80","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","199752387","-1698701927","26.259","12.5","1","3.4375","5","0","10","-1.25","200","800","62","38","0","47.5","45","7.5","3.4375","1.6501264494135945","5.630410170371354","3.401862796165785","0.8298115910636658","22.837850402383996","76.33233800655236","37","55.5","7.5","33.125","1.75","65.125","9.75","28.625","23","4.375","34.25","12","4","3","94","1","80","64.21052631578948","87.77777777777777","100","0","48.570426162003756","31.66994997567215","24.450562600327718"
"19","90","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","1091872101","1847707958","28.874","11.11111111111111","0.5","3.611111111111111","5","0","10","-0.5555555555555554","200","800","64.5","35.5","0","48.5","28","23.5","3.611111111111111","1.7133435533517047","5.878456236486383","3.500222787635044","0.40588984460188593","30.60914895565204","68.9849611997461","43.5","53.5","3","26.125","3.25","70.625","2.125","19.25","35.25","13.375","30","13","11","6","97","1","90","69.0721649484536","96.42857142857143","100","0","46.182922969022265","19.037097601283314","10.22002530358774"
"20","95","4","90","90","0","200","Random","Random","50","0","90","2000","5","10","4","100","100","-1","false","","0","0","2000","5291219","93247626","28.774","10.526315789473685","0.25","3.6842105263157894","5","0","10","-0.2631578947368425","200","800","75","25","0","32","5.5","62.5","3.6842105263157894","0.9788296197420298","5.477965430185413","2.759588673424697","0.29712994727300956","50.55412654050643","49.14874351222057","58.5","41","0.5","0","21.375","78.625","0","1.5","20.125","47.875","30.5","15","7","4","122","3","95","67.1875","100","96.8","0","42.433467979040515","11.328715853701436","9.694364657767828"
